team,path,distance
Louisiana Tech,Louisiana Tech->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,5
UT-Martin,UT-Martin->UNLV->Utah State->Villanova->Wisconsin->Michigan,5
Hawaii,Hawaii->North Dakota->Winthrop->High Point->Wisconsin->Michigan,5
Long Beach State,Long Beach State->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,5
East Carolina,East Carolina->Memphis->New Orleans->TCU->Wisconsin->Michigan,5
Georgia Southern,Georgia Southern->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,5
Fordham,Fordham->Saint Joseph's->California->UNC->Duke->Michigan,5
Manhattan,Manhattan->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
Monmouth,Monmouth->Elon->Appalachian State->High Point->Wisconsin->Michigan,5
Sacred Heart,Sacred Heart->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
South Carolina,South Carolina->Oklahoma->Oklahoma State->BYU->Wisconsin->Michigan,5
North Carolina A&T,North Carolina A&T->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,5
Robert Morris,Robert Morris->Drake->Southern Illinois->High Point->Wisconsin->Michigan,5
Missouri State,Missouri State->Texas-Rio Grande Valley->New Orleans->TCU->Wisconsin->Michigan,5
Rice,Rice->Wichita State->Oklahoma State->BYU->Wisconsin->Michigan,5
Eastern Illinois,Eastern Illinois->Nicholls State->New Orleans->TCU->Wisconsin->Michigan,5
UC Santa Barbara,UC Santa Barbara->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
New Mexico State,New Mexico State->New Mexico->San Diego State->Oregon->Wisconsin->Michigan,5
San Diego,San Diego->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,5
Sacramento State,Sacramento State->Northern Colorado->Colorado->TCU->Wisconsin->Michigan,5
Portland State,Portland State->Northern Colorado->Colorado->TCU->Wisconsin->Michigan,5
Temple,Temple->South Florida->Utah State->Villanova->Wisconsin->Michigan,5
Delaware State,Delaware State->Longwood->Winthrop->High Point->Wisconsin->Michigan,5
La Salle,La Salle->Dayton->Georgetown->Villanova->Wisconsin->Michigan,5
Southern Indiana,Southern Indiana->Valparaiso->Southern Illinois->High Point->Wisconsin->Michigan,5
UTSA,UTSA->Charlotte->UAB->High Point->Wisconsin->Michigan,5
North Alabama,North Alabama->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,5
Pacific,Pacific->Nicholls State->New Orleans->TCU->Wisconsin->Michigan,5
Northern Iowa,Northern Iowa->UIC->Southern Illinois->High Point->Wisconsin->Michigan,5
Columbia,Columbia->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,5
Iona,Iona->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,5
Penn,Penn->Saint Joseph's->California->UNC->Duke->Michigan,5
Yale,Yale->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
New Haven,New Haven->Delaware State->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
South Carolina State,South Carolina State->Delaware State->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
Colgate,Colgate->Drexel->Elon->Appalachian State->High Point->Wisconsin->Michigan,6
Campbell,Campbell->Western Michigan->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,6
Central Arkansas,Central Arkansas->Bellarmine->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,6
New Hampshire,New Hampshire->Stonehill->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Canisius,Canisius->Fairfield->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
Navy,Navy->Air Force->Alabama State->UAB->High Point->Wisconsin->Michigan,6
