team,path,distance
Idaho State,Idaho State->Montana State->Colorado->Baylor->Duke->LSU->Texas->UCLA,7
Merrimack,Merrimack->Iona->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Providence,Providence->Creighton->Tulsa->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Saint Peter's,Saint Peter's->Iona->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Stony Brook,Stony Brook->Drexel->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Colorado State,Colorado State->Oregon State->Illinois->Maryland->Kentucky->LSU->Texas->UCLA,7
Weber State,Weber State->Eastern Washington->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
North Dakota,North Dakota->Wyoming->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Northern Colorado,Northern Colorado->Eastern Washington->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Western Illinois,Western Illinois->Bradley->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Saint Mary's,Saint Mary's->Wyoming->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Montana,Montana->Tarleton State->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,7
Portland,Portland->Oregon State->Illinois->Maryland->Kentucky->LSU->Texas->UCLA,7
Hampton,Hampton->William & Mary->Wake Forest->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,7
Hawaii,Hawaii->Liberty->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
Alabama A&M,Alabama A&M->Southern->Arizona->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Western Kentucky,Western Kentucky->Wichita State->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
San Francisco,San Francisco->Pepperdine->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Lindenwood,Lindenwood->Oral Roberts->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
UC Irvine,UC Irvine->Wichita State->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
VCU,VCU->Howard->Fairfield->South Florida->Duke->LSU->Texas->UCLA,7
Longwood,Longwood->High Point->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
South Carolina State,South Carolina State->West Georgia->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,7
Loyola Marymount,Loyola Marymount->Oregon State->Illinois->Maryland->Kentucky->LSU->Texas->UCLA,7
Evansville,Evansville->Illinois State->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
